Subclass,Price,Division_x,Weight_x,Weight_Price_Subclass,Division_y,Weight_y
Diesel,1.6042833333333335,TRANSPORT,0.0143,0.02294125166666667,TRANSPORT,0.0143
Dried fruit and nuts,3.3066666666666666,FOOD AND NON-ALCOHOLIC BEVERAGES,0.0038,0.012565333333333333,FOOD AND NON-ALCOHOLIC BEVERAGES,0.0038
"Dried vegetables, other preserved or processed 
vegetables",1.0683333333333334,FOOD AND NON-ALCOHOLIC BEVERAGES,0.0036,0.003846,FOOD AND NON-ALCOHOLIC BEVERAGES,0.0036
"Dried, smoked or salted fish and seafood",3.34,FOOD AND NON-ALCOHOLIC BEVERAGES,0.0006,0.0020039999999999997,FOOD AND NON-ALCOHOLIC BEVERAGES,0.0006
Edible ices and ice cream,3.535,FOOD AND NON-ALCOHOLIC BEVERAGES,0.0022,0.007777000000000001,FOOD AND NON-ALCOHOLIC BEVERAGES,0.0022
Educational text books,15.584210526315788,RECREATION AND CULTURE,0.0017000000000000001,0.02649315789473684,RECREATION AND CULTURE,0.0017000000000000001
Eggs,3.8,FOOD AND NON-ALCOHOLIC BEVERAGES,0.0023,0.00874,FOOD AND NON-ALCOHOLIC BEVERAGES,0.0023
Electric appliances for personal care,44.0,MISCELLANEOUS GOODS AND SERVICES,0.0002,0.0088,MISCELLANEOUS GOODS AND SERVICES,0.0002
Electricity,7.339340000000001,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",0.0316,0.23192314400000005,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",0.0316
Equipment for sport,12.0,RECREATION AND CULTURE,0.0018,0.0216,RECREATION AND CULTURE,0.0018
"Equipment for the reception, recording and reproduction of sound",13.95,RECREATION AND CULTURE,0.0002,0.00279,RECREATION AND CULTURE,0.0002
"Equipment for the reception, recording and reproduction of sound and vision",38.0,RECREATION AND CULTURE,0.0032,0.1216,RECREATION AND CULTURE,0.0032
Fast food and take away food services,14.5,RESTAURANTS AND HOTELS,0.0174,0.25229999999999997,RESTAURANTS AND HOTELS,0.0174
Fiction books,18.400000000000002,RECREATION AND CULTURE,0.0014000000000000002,0.025760000000000005,RECREATION AND CULTURE,0.0014000000000000002
Flours and other cereals,1.5366666666666668,FOOD AND NON-ALCOHOLIC BEVERAGES,0.002,0.0030733333333333337,FOOD AND NON-ALCOHOLIC BEVERAGES,0.002
Food processing appliances,84.0,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",0.0003,0.025199999999999997,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",0.0003
Footwear for infants and children,23.0,CLOTHING AND FOOTWEAR,0.003,0.069,CLOTHING AND FOOTWEAR,0.003
Footwear for men,43.5,CLOTHING AND FOOTWEAR,0.006500000000000001,0.28275,CLOTHING AND FOOTWEAR,0.006500000000000001
Footwear for women,42.875,CLOTHING AND FOOTWEAR,0.0072,0.3087,CLOTHING AND FOOTWEAR,0.0072
Fresh or chilled fish,16.92,FOOD AND NON-ALCOHOLIC BEVERAGES,0.0028000000000000004,0.04737600000000001,FOOD AND NON-ALCOHOLIC BEVERAGES,0.0028000000000000004
Fresh or chilled fruit,2.915,FOOD AND NON-ALCOHOLIC BEVERAGES,0.0139,0.0405185,FOOD AND NON-ALCOHOLIC BEVERAGES,0.0139
Fresh or chilled vegetables other than potatoes and other tubers,2.14,FOOD AND NON-ALCOHOLIC BEVERAGES,0.0138,0.029532000000000003,FOOD AND NON-ALCOHOLIC BEVERAGES,0.0138
Frozen fish,8.392,FOOD AND NON-ALCOHOLIC BEVERAGES,0.0015,0.012588,FOOD AND NON-ALCOHOLIC BEVERAGES,0.0015
Frozen seafood,7.2459999999999996,FOOD AND NON-ALCOHOLIC BEVERAGES,0.0011,0.0079706,FOOD AND NON-ALCOHOLIC BEVERAGES,0.0011
Frozen vegetables other than potatoes and other tubers,3.0766666666666667,FOOD AND NON-ALCOHOLIC BEVERAGES,0.0009,0.0027689999999999998,FOOD AND NON-ALCOHOLIC BEVERAGES,0.0009
Fruit and vegetable juices,2.1525,FOOD AND NON-ALCOHOLIC BEVERAGES,0.0033,0.007103249999999999,FOOD AND NON-ALCOHOLIC BEVERAGES,0.0033
Furnishing fabrics and curtains,12.0,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",0.0012,0.0144,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",0.0012
Games and hobbies,6.5,RECREATION AND CULTURE,0.0007000000000000001,0.00455,RECREATION AND CULTURE,0.0007000000000000001
Garden furniture,15.0,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",0.0008,0.012,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",0.0008
Garden products,1.6400000000000001,RECREATION AND CULTURE,0.0009,0.001476,RECREATION AND CULTURE,0.0009
Garments for infants (0 to 2 years) and children (3 to 13 years),25.75,CLOTHING AND FOOTWEAR,0.0116,0.29869999999999997,CLOTHING AND FOOTWEAR,0.0116
Garments for men,18.906666666666666,CLOTHING AND FOOTWEAR,0.018500000000000003,0.3497733333333334,CLOTHING AND FOOTWEAR,0.018500000000000003
Garments for women,19.15,CLOTHING AND FOOTWEAR,0.023399999999999997,0.4481099999999999,CLOTHING AND FOOTWEAR,0.023399999999999997
"Glassware, crystal-ware, ceramic ware and chinaware",0.79,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",0.0016,0.0012640000000000001,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",0.0016
Hairdressing for men and children,24.5,MISCELLANEOUS GOODS AND SERVICES,0.0033,0.08085,MISCELLANEOUS GOODS AND SERVICES,0.0033
Hairdressing for women,27.5,MISCELLANEOUS GOODS AND SERVICES,0.0083,0.22825,MISCELLANEOUS GOODS AND SERVICES,0.0083
"Heaters, air conditioners",379.0,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",0.0025,0.9475,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",0.0025
Household furniture,122.97999999999999,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",0.0088,1.082224,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",0.0088
Internet access provision services,27.6175,COMMUNICATION,0.0031,0.08561425,COMMUNICATION,0.0031
Irons,23.95,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",0.0003,0.0071849999999999995,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",0.0003
"Jams, marmalades and honey",3.2742857142857145,FOOD AND NON-ALCOHOLIC BEVERAGES,0.0015,0.004911428571428572,FOOD AND NON-ALCOHOLIC BEVERAGES,0.0015
Jewellery,30.125,MISCELLANEOUS GOODS AND SERVICES,0.0013,0.039162499999999996,MISCELLANEOUS GOODS AND SERVICES,0.0013
Lager beer,6.345000000000001,ALCOHOLIC BEVERAGES AND TOBACCO,0.0026,0.016497,ALCOHOLIC BEVERAGES AND TOBACCO,0.0026
Lamb and goat,12.33,FOOD AND NON-ALCOHOLIC BEVERAGES,0.0039000000000000003,0.048087000000000005,FOOD AND NON-ALCOHOLIC BEVERAGES,0.0039000000000000003
Letter handling services,1.05,COMMUNICATION,0.0006,0.0006299999999999999,COMMUNICATION,0.0006
Lighting equipment,12.49,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",0.0007000000000000001,0.008743,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",0.0007000000000000001
Liquid fuels,1.1638702010968922,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",0.0070999999999999995,0.008263478427787935,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",0.0070999999999999995
Low fat milk,2.2616666666666667,FOOD AND NON-ALCOHOLIC BEVERAGES,0.0086,0.019450333333333333,FOOD AND NON-ALCOHOLIC BEVERAGES,0.0086
Lubricants,10.425,TRANSPORT,0.0004,0.00417,TRANSPORT,0.0004
Maintenance and repair of personal transport equipment,9.07,TRANSPORT,0.0184,0.166888,TRANSPORT,0.0184
Margarine and other vegetable fats,3.14,FOOD AND NON-ALCOHOLIC BEVERAGES,0.0012,0.0037679999999999996,FOOD AND NON-ALCOHOLIC BEVERAGES,0.0012
Mineral or spring waters,2.716666666666667,FOOD AND NON-ALCOHOLIC BEVERAGES,0.0029,0.007878333333333333,FOOD AND NON-ALCOHOLIC BEVERAGES,0.0029
Miscellaneous printed matter,11.95,RECREATION AND CULTURE,0.0005,0.005974999999999999,RECREATION AND CULTURE,0.0005
Miscellaneous small tool accessories,54.9,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",0.0013,0.07136999999999999,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",0.0013
Mobile telephone equipment,44.15,COMMUNICATION,0.0023,0.101545,COMMUNICATION,0.0023
Motor cycles,4400.0,TRANSPORT,0.0011,4.84,TRANSPORT,0.0011
Motorized major tools and equipment,39.9,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",0.0017000000000000001,0.06783,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",0.0017000000000000001
Musical instruments,347.2,RECREATION AND CULTURE,0.0003,0.10415999999999999,RECREATION AND CULTURE,0.0003
New motor cars,23950.0,TRANSPORT,0.018799999999999997,450.25999999999993,TRANSPORT,0.018799999999999997
Non-electric kitchen utensils and articles,17.216666666666665,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",0.0023,0.039598333333333326,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",0.0023
Non-electrical appliances,2.545,MISCELLANEOUS GOODS AND SERVICES,0.0009,0.0022905,MISCELLANEOUS GOODS AND SERVICES,0.0009
Non-motorized small tools,17.9,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",0.0005,0.00895,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",0.0005
Other bakery products,3.046666666666667,FOOD AND NON-ALCOHOLIC BEVERAGES,0.0146,0.04448133333333334,FOOD AND NON-ALCOHOLIC BEVERAGES,0.0146
Other cereal products,3.5233333333333334,FOOD AND NON-ALCOHOLIC BEVERAGES,0.0,0.0,FOOD AND NON-ALCOHOLIC BEVERAGES,0.0
Other edible oils,6.656666666666666,FOOD AND NON-ALCOHOLIC BEVERAGES,0.0015,0.009984999999999999,FOOD AND NON-ALCOHOLIC BEVERAGES,0.0015
Other food products n.e.c.,2.183333333333333,FOOD AND NON-ALCOHOLIC BEVERAGES,0.0009,0.0019649999999999997,FOOD AND NON-ALCOHOLIC BEVERAGES,0.0009
Other furniture and furnishings,44.90833333333333,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",0.0012,0.05388999999999999,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",0.0012
Other meat preparations,3.36,FOOD AND NON-ALCOHOLIC BEVERAGES,0.0019,0.006384,FOOD AND NON-ALCOHOLIC BEVERAGES,0.0019
Other meats,6.35,FOOD AND NON-ALCOHOLIC BEVERAGES,0.0011,0.006985,FOOD AND NON-ALCOHOLIC BEVERAGES,0.0011
Other medical products n.e.c.,65.0,HEALTH,0.0005,0.0325,HEALTH,0.0005
Other milk products,1.6600000000000001,FOOD AND NON-ALCOHOLIC BEVERAGES,0.002,0.0033200000000000005,FOOD AND NON-ALCOHOLIC BEVERAGES,0.002
Other non-fiction books,10.716666666666667,RECREATION AND CULTURE,0.0004,0.004286666666666667,RECREATION AND CULTURE,0.0004
Other postal services,12.516666666666666,COMMUNICATION,0.0005,0.006258333333333333,COMMUNICATION,0.0005
Other preserved or processed fish and seafood-based preparations,5.577500000000001,FOOD AND NON-ALCOHOLIC BEVERAGES,0.0023,0.012828250000000001,FOOD AND NON-ALCOHOLIC BEVERAGES,0.0023
Other small electric household appliances,44.95,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",0.0,0.0,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",0.0
Other stationery and drawing materials,1.2,RECREATION AND CULTURE,0.0008,0.00096,RECREATION AND CULTURE,0.0008
Other therapeutic appliances and equipment,114.13,HEALTH,0.0003,0.034239,HEALTH,0.0003
Other tobacco products,10.75,ALCOHOLIC BEVERAGES AND TOBACCO,0.0076,0.0817,ALCOHOLIC BEVERAGES AND TOBACCO,0.0076
Paper products,5.5,RECREATION AND CULTURE,0.0008,0.0044,RECREATION AND CULTURE,0.0008
Passenger transport by bus and coach,2.0,TRANSPORT,0.0008,0.0016,TRANSPORT,0.0008
Passenger transport by taxi and hired car with driver,2.34,TRANSPORT,0.0007000000000000001,0.0016380000000000001,TRANSPORT,0.0007000000000000001
Pasta products and couscous,1.5999999999999999,FOOD AND NON-ALCOHOLIC BEVERAGES,0.0024,0.0038399999999999992,FOOD AND NON-ALCOHOLIC BEVERAGES,0.0024
Personal computers,269.0,RECREATION AND CULTURE,0.0028000000000000004,0.7532000000000001,RECREATION AND CULTURE,0.0028000000000000004
Personal grooming treatments,3.0700000000000003,MISCELLANEOUS GOODS AND SERVICES,0.0052,0.015964,MISCELLANEOUS GOODS AND SERVICES,0.0052
Petrol,1.5764343434343435,TRANSPORT,0.060700000000000004,0.09568956464646466,TRANSPORT,0.060700000000000004
Pharmaceutical products,11.99,HEALTH,0.0202,0.242198,HEALTH,0.0202
Pizza and quiche,3.4875000000000003,FOOD AND NON-ALCOHOLIC BEVERAGES,0.0011,0.0038362500000000007,FOOD AND NON-ALCOHOLIC BEVERAGES,0.0011
Plants and flowers,8.99,RECREATION AND CULTURE,0.0024,0.021575999999999998,RECREATION AND CULTURE,0.0024
Pork,6.300000000000001,FOOD AND NON-ALCOHOLIC BEVERAGES,0.011200000000000002,0.07056000000000001,FOOD AND NON-ALCOHOLIC BEVERAGES,0.011200000000000002
Post-secondary non-tertiary education (ISCED 4),8577.5,EDUCATION,0.0004,3.431,EDUCATION,0.0004
Potatoes,3.4,FOOD AND NON-ALCOHOLIC BEVERAGES,0.0026,0.008839999999999999,FOOD AND NON-ALCOHOLIC BEVERAGES,0.0026
Poultry,10.18,FOOD AND NON-ALCOHOLIC BEVERAGES,0.0098,0.09976399999999999,FOOD AND NON-ALCOHOLIC BEVERAGES,0.0098
Pre-primary education (ISCED-97 level 0),4950.0,EDUCATION,0.0045000000000000005,22.275000000000002,EDUCATION,0.0045000000000000005
Pregnancy tests and mechanical contraceptive devices,14.91,HEALTH,0.0004,0.0059640000000000006,HEALTH,0.0004
Preserved milk,1.3050000000000002,FOOD AND NON-ALCOHOLIC BEVERAGES,0.0007000000000000001,0.0009135000000000002,FOOD AND NON-ALCOHOLIC BEVERAGES,0.0007000000000000001
Primary education (ISCED-97 level 1),6295.0,EDUCATION,0.0033,20.7735,EDUCATION,0.0033
Products for pets,4.156666666666667,RECREATION AND CULTURE,0.0027,0.011223000000000002,RECREATION AND CULTURE,0.0027
Ready-made meals,4.845000000000001,FOOD AND NON-ALCOHOLIC BEVERAGES,0.0008,0.0038760000000000005,FOOD AND NON-ALCOHOLIC BEVERAGES,0.0008
"Refrigerators, freezers and fridge-freezers",467.0,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",0.0016,0.7472000000000001,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",0.0016
Repair of household appliances,13.093333333333334,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",0.0005,0.006546666666666667,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",0.0005
"Restaurants, cafes and dancing establishments",11.505555555555555,RESTAURANTS AND HOTELS,0.0623,0.7167961111111111,RESTAURANTS AND HOTELS,0.0623
Rice,3.3100000000000005,FOOD AND NON-ALCOHOLIC BEVERAGES,0.0013,0.004303,FOOD AND NON-ALCOHOLIC BEVERAGES,0.0013
"Salt, spices and culinary herbs",1.1566666666666667,FOOD AND NON-ALCOHOLIC BEVERAGES,0.0008,0.0009253333333333335,FOOD AND NON-ALCOHOLIC BEVERAGES,0.0008
"Sauces, condiments",2.1036363636363635,FOOD AND NON-ALCOHOLIC BEVERAGES,0.0019,0.003996909090909091,FOOD AND NON-ALCOHOLIC BEVERAGES,0.0019
Second-hand motor cars,16935.0,TRANSPORT,0.0138,233.703,TRANSPORT,0.0138
Secondary education,7819.583333333333,EDUCATION,0.015600000000000001,121.9855,EDUCATION,0.015600000000000001
Sewage collection,0.46555555555555556,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",0.002,0.0009311111111111112,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",0.002
Soft drinks,4.95888888888889,FOOD AND NON-ALCOHOLIC BEVERAGES,0.005600000000000001,0.027769777777777786,FOOD AND NON-ALCOHOLIC BEVERAGES,0.005600000000000001
Spare parts for personal transport equipment,13.483333333333334,TRANSPORT,0.0011,0.014831666666666668,TRANSPORT,0.0011
Spirits and liqueurs,11.855714285714285,ALCOHOLIC BEVERAGES AND TOBACCO,0.0023,0.027268142857142855,ALCOHOLIC BEVERAGES AND TOBACCO,0.0023
Sugar,1.42,FOOD AND NON-ALCOHOLIC BEVERAGES,0.0007000000000000001,0.000994,FOOD AND NON-ALCOHOLIC BEVERAGES,0.0007000000000000001
Table linen and bathroom linen,12.0,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",0.0003,0.0036,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",0.0003
Tea,1.67,FOOD AND NON-ALCOHOLIC BEVERAGES,0.0004,0.000668,FOOD AND NON-ALCOHOLIC BEVERAGES,0.0004
Tertiary education,13514.121212121212,EDUCATION,0.0144,194.60334545454546,EDUCATION,0.0144
Toasters and grills,33.975,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",0.0003,0.0101925,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",0.0003
Toys and celebration articles,3.99,RECREATION AND CULTURE,0.0038,0.015162,RECREATION AND CULTURE,0.0038
Travel goods,70.0,MISCELLANEOUS GOODS AND SERVICES,0.0013,0.091,MISCELLANEOUS GOODS AND SERVICES,0.0013
Tyres,52.98,TRANSPORT,0.0015,0.07947,TRANSPORT,0.0015
Water supply,6.383333333333333,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",0.0072,0.045959999999999994,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",0.0072
Whole milk,2.92,FOOD AND NON-ALCOHOLIC BEVERAGES,0.0015,0.00438,FOOD AND NON-ALCOHOLIC BEVERAGES,0.0015
Wine from grapes,4.426666666666667,ALCOHOLIC BEVERAGES AND TOBACCO,0.0018,0.007968,ALCOHOLIC BEVERAGES AND TOBACCO,0.0018
Wired telephone services,0.0445,COMMUNICATION,0.0033,0.00014685,COMMUNICATION,0.0033
Wireless telephone services,0.025,COMMUNICATION,0.0276,0.0006900000000000001,COMMUNICATION,0.0276
Yoghurt,4.318,FOOD AND NON-ALCOHOLIC BEVERAGES,0.0053,0.022885399999999997,FOOD AND NON-ALCOHOLIC BEVERAGES,0.0053
