,Period,Division,Official CPI,Official Monthly Change (%),Online CPI,Online Monthly Change (%)
128,2025-04-01,RECREATION AND CULTURE,116.72,-0.03,105.5438,-0.3925
129,2025-04-01,EDUCATION,116.08,0.0,100.484,0.0
130,2025-04-01,RESTAURANTS AND HOTELS,133.28,0.44,102.007,0.0775
131,2025-04-01,MISCELLANEOUS GOODS AND SERVICES,112.25,0.37,99.3474,0.078
132,2025-05-01,FOOD AND NON-ALCOHOLIC BEVERAGES,123.97,1.24,103.696,-0.32
133,2025-05-01,ALCOHOLIC BEVERAGES AND TOBACCO,103.56,0.07,104.673,-0.17
134,2025-05-01,CLOTHING AND FOOTWEAR,103.26,2.4,89.5537,-1.14
135,2025-05-01,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",142.91,0.23,99.6308,-0.07
136,2025-05-01,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES",104.94,0.51,100.3012,0.26
137,2025-05-01,HEALTH,107.97,0.07,102.4043,0.0
138,2025-05-01,TRANSPORT,112.01,-2.36,98.9379,-0.74
139,2025-05-01,COMMUNICATION,91.36,-0.1,105.3683,0.0
140,2025-05-01,RECREATION AND CULTURE,118.48,1.51,105.5503,0.01
141,2025-05-01,EDUCATION,116.08,0.0,100.484,0.0
142,2025-05-01,RESTAURANTS AND HOTELS,133.54,0.2,102.3291,0.32
143,2025-05-01,MISCELLANEOUS GOODS AND SERVICES,112.42,0.15,99.2226,-0.13
144,2025-06-01,FOOD AND NON-ALCOHOLIC BEVERAGES,121.12,-2.3,99.7214,-3.83
145,2025-06-01,ALCOHOLIC BEVERAGES AND TOBACCO,103.73,0.16,105.5705,0.86
146,2025-06-01,CLOTHING AND FOOTWEAR,103.14,-0.12,88.8794,-0.75
147,2025-06-01,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",142.69,-0.15,99.6417,0.01
148,2025-06-01,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES",104.75,-0.18,100.2686,-0.03
149,2025-06-01,HEALTH,107.97,0.0,102.4043,0.0
150,2025-06-01,TRANSPORT,112.83,0.73,99.0779,0.14
151,2025-06-01,COMMUNICATION,92.11,0.82,105.3683,0.0
152,2025-06-01,RECREATION AND CULTURE,118.33,-0.13,106.3133,0.72
153,2025-06-01,EDUCATION,116.08,0.0,101.6033,1.11
154,2025-06-01,RESTAURANTS AND HOTELS,134.97,1.07,110.0019,7.5
155,2025-06-01,MISCELLANEOUS GOODS AND SERVICES,112.64,0.2,99.2226,0.0
156,2025-07-01,FOOD AND NON-ALCOHOLIC BEVERAGES,120.67,-0.37,100.2457,0.53
157,2025-07-01,ALCOHOLIC BEVERAGES AND TOBACCO,103.94,0.2,105.1734,-0.38
158,2025-07-01,CLOTHING AND FOOTWEAR,90.38,-12.37,84.4056,-5.03
159,2025-07-01,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",142.27,-0.29,99.6932,0.05
160,2025-07-01,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES",104.34,-0.39,100.2859,0.02
161,2025-07-01,HEALTH,108.13,0.15,101.8493,-0.54
162,2025-07-01,TRANSPORT,115.15,2.06,99.079,0.0
163,2025-07-01,COMMUNICATION,92.12,0.01,105.3683,0.0
164,2025-07-01,RECREATION AND CULTURE,119.33,0.85,107.4704,1.09
165,2025-07-01,EDUCATION,116.3,0.19,101.6033,0.0
166,2025-07-01,RESTAURANTS AND HOTELS,135.34,0.27,110.0847,0.08
167,2025-07-01,MISCELLANEOUS GOODS AND SERVICES,112.44,-0.18,99.3474,0.13
168,2025-08-01,FOOD AND NON-ALCOHOLIC BEVERAGES,122.83,1.79,101.5208,1.27
169,2025-08-01,ALCOHOLIC BEVERAGES AND TOBACCO,103.88,-0.06,105.273,0.09
170,2025-08-01,CLOTHING AND FOOTWEAR,89.39,-1.1,84.9405,0.63
171,2025-08-01,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",142.54,0.19,107.523,7.85
172,2025-08-01,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES",104.09,-0.24,104.9708,4.67
173,2025-08-01,HEALTH,108.2,0.06,102.9876,1.12
174,2025-08-01,TRANSPORT,115.18,0.03,99.016,-0.06
175,2025-08-01,COMMUNICATION,92.08,-0.04,103.365,-1.9
176,2025-08-01,RECREATION AND CULTURE,119.88,0.46,106.8891,-0.54
177,2025-08-01,EDUCATION,116.3,0.0,101.6033,0.0
178,2025-08-01,RESTAURANTS AND HOTELS,135.45,0.08,110.1952,0.1
179,2025-08-01,MISCELLANEOUS GOODS AND SERVICES,112.36,-0.07,98.2099,-1.14
